Unnamed: 0	Cluster
CD52	4
TMEM147	45
RBM14	17
LYPLA1	29
CDC42EP2	18
IFI30	47
C1D	40
OLFM1	16
CDX1	7
TIMM17A	11
N4BP2L2	13
ZER1	4
MCRS1	25
LRRN2	12
FAM3C	3
ACAA2	1
CDX2	0
PPIE	19
VAV3	3
TOMM40	15
TAB1	30
ECI2	40
HAX1	29
GPNMB	7
BAIAP2	27
CDX4	20
TACC3	21
MERTK	28
CLEC10A	12
SLC30A9	45
PIBF1	16
PPIH	40
COG5	49
ZNHIT1	47
FST	36
TIMM44	1
CLGN	28
PFDN6	3
ZBTB18	2
HMGN4	3
TADA3	32
TRIM38	5
ATP5PD	14
UBE2E3	19
SLC25A17	22
SLC9A6	24
CEACAM5	2
EIF3M	2
HOXB13	28
NXF1	10
SEC23B	19
SEC23A	45
C1orf61	36
CAP2	3
CAP1	19
CREB3	28
LRRC41	18
VTI1B	3
CRTAP	29
SYNCRIP	6
VAT1	29
STK25	47
ENOX2	9
UNC13B	9
CARM1	13
NCOA2	18
ADARB2	36
CEBPA	39
SEMA6C	0
SEMA6B	12
SEMA4F	38
SEMA4D	41
CEBPB	35
SEMA3C	28
APPBP2	46
MYBBP1A	28
FBLN5	3
CIB2	38
CIB1	19
CEBPD	18
ZNF211	46
DDX17	41
DEAF1	2
CHERP	17
KAT5	11
HYOU1	48
IPO8	37
IPO7	13
NOP56	17
NEBL	3
CEBPE	48
PITRM1	41
ATG7	38
SSSCA1	40
RNASEH2A	40
P3H3	37
BATF	5
GLRX3	14
CEBPG	11
DCTN2	29
ANP32B	17
LAMTOR5	28
PROCR	25
PRDX4	45
ARL6IP5	45
AGR2	25
ARPC1A	29
HTATIP2	2
AGPAT1	38
AGPAT2	47
RPP30	17
RPP38	17
SPTLC1	6
SLC35A1	3
SLC19A2	23
IFI44	15
OLFM4	16
CXCL13	46
ARFGEF2	11
ARFGEF1	11
AKAP3	7
RABAC1	19
SLC34A2	3
CELP	33
DPYSL4	4
SIVA1	40
MRPL28	15
CCT7	45
CCT4	13
CCT2	25
NPC2	19
GNLY	30
TACC2	2
CENPA	21
SORBS1	31
IFITM2	19
COLEC10	20
POMT1	28
MAB21L2	9
TXNRD2	4
MTHFS	19
DRAP1	47
CENPB	2
SCGN	7
DNPH1	49
SMC2	40
PRPF8	29
ERN2	26
AHSA1	13
SLCO1B1	7
CENPC	11
USP16	25
CDC42EP3	18
SH2B2	28
PAIP1	45
PAICS	29
TBL3	1
MXD4	28
P3H4	9
ST6GALNAC2	4
PDLIM5	5
TRIM3	30
ERLIN1	13
HEXIM1	28
SPAG5	21
RBCK1	4
STAMBP	19
TGOLN2	1
CENPE	21
ARID3B	27
POLR3F	11
POLR3G	13
POLR3C	18
IVNS1ABP	18
TRIM16	2
MYL12A	49
TXNIP	46
TAF6L	12
CENPF	21
PDPN	27
POSTN	36
ATP5MG	19
RASL10A	30
GAS2L1	19
RAD51AP1	27
RGS14	4
LEFTY1	31
EXOC5	9
NPRL2	30
IGF2BP3	1
IGF2BP2	43
CAMKK2	16
SCGB1D2	30
SCGB1D1	20
PRELID3A	37
MTX2	19
YKT6	21
SPINT2	32
PMVK	19
KHDRBS3	25
KHDRBS1	17
CELF1	18
CELF2	24
CES1	4
LBX1	20
KLF1	3
CXCR6	0
CTCF	23
TSBP1	34
CD226	42
FARS2	19
CGRRF1	10
CGREF1	16
RRAGA	10
DCTN6	43
GNA13	16
CSPG5	3
AVIL	42
B3GNT2	2
CETN1	12
GNB5	28
EBP	6
DLL3	3
CLDN16	3
PNMA2	47
CETN2	3
FUT9	36
GMEB1	1
RRH	20
CCT6B	28
CCT8	25
CNPY3	26
CORIN	34
ADCY1	16
CETN3	29
CETP	26
FAM189B	8
USP39	8
POLD3	18
TBR1	34
CFL1	14
POLQ	8
SLC12A7	28
OGA	43
NFAT5	1
NUDC	19
PTGES3	13
YME1L1	45
TCFL5	9
PLK4	8
STAG3	27
STAG2	8
SIX2	11
RFPL3	12
RFPL2	30
RFPL1S	34
RBBP9	38
RAI2	4
RAI1	20
PTTG2	34
PHTF1	28
MAP3K2	26
MASP2	37
KIF1C	9
CTSC	45
GRAP	36
CHL1	9
CAPN9	30
GIPC1	25
TRAF3IP2	31
PLAC1	36
NUP50	23
NES	3
KDM5B	46
TOB2	35
HBS1L	8
AHCYL1	2
PLK2	10
ZMYND11	9
SRSF10	24
ZBTB6	18
POP4	6
ARPP19	6
ARPP21	42
ZNF271P	16
ZNF234	34
ZNF266	5
ZNF274	1
WDR4	16
SLC17A3	30
NCKAP1	31
IQGAP2	43
VAMP5	16
ZNF273	42
ZNF460	42
ZNF268	27
MTHFD2	6
OR5I1	20
RPP40	25
ADCY2	30
CFTR	47
CYSLTR1	20
SEPT9	41
SEC24A	35
CCR9	30
ENTR1	45
HSPH1	11
CGA	15
WASF3	3
UTP14A	1
CPLX2	7
SPINT3	20
FRS3	20
FRS2	42
OR7E14P	16
NEU3	12
FAXDC2	16
FAM114A2	9
CEACAM3	12
ALDH1L1	7
FTCD	20
PPP1R17	36
TUBGCP2	32
CLPX	17
PDE10A	22
SRCAP	4
PPP1R13L	4
CCL27	7
HPSE	4
RUVBL2	40
PGRMC1	40
CYP46A1	36
LILRB1	26
SLC26A1	20
ADAM28	28
SLC22A7	37
ARID5A	18
HCP5	46
TSPAN9	4
USP20	22
USP19	26
CEACAM7	27
CD300C	48
ME3	15
NMU	3
FGL2	7
EDDM3A	7
CFHR4	37
SMR3B	1
CEACAM8	16
ACTL7B	48
ACTL7A	7
C1QL1	48
MRPS30	17
WDR3	23
CEACAM4	20
PPARGC1A	5
MALT1	19
MMP24	33
LYVE1	16
PPBPP2	20
OCLM	12
YIF1A	45
CPSF4	39
JTB	41
ADCY3	45
RUNDC3A	48
BRD8	35
MTMR11	46
BLCAP	39
MAN1A2	16
TRAFD1	46
TXNL4A	6
PNPLA6	32
UTS2	20
GADD45G	5
EDAR	3
PAPOLA	6
TCERG1	6
MAGED2	49
BTNL3	48
EHMT2	3
COPS8	47
RNPS1	17
FASTK	3
SUB1	25
SMPDL3A	5
DBF4	21
SPIN1	9
RALBP1	43
APOBEC2	7
MORF4L1	19
PRDX3	49
GPR75	20
EHD1	5
AFG3L2	41
POP1	31
PRSS21	32
MSL3	24
C11orf58	40
KDELR1	3
SF3A3	25
AP3M2	30
STARD3	46
HNRNPA0	25
BTG3	22
CBX1	25
SEC61B	19
TOMM34	45
PDIA5	9
SERINC3	45
OS9	38
PNRC1	31
TMED2	45
LMAN2	4
ERP29	45
MLLT11	2
STIP1	19
IFI44L	15
RAB40B	19
EBNA1BP2	40
CKAP4	1
YWHAQ	19
TMED10	49
ASCC3	14
ADIRF	3
UQCR11	49
CLP1	11
FERMT2	1
COPS6	3
RAB32	31
MAPRE2	3
CCNI	29
GCN1	19
COPS5	43
METAP2	25
IMMT	49
LILRB5	33
SF3B2	19
SDS	30
ILVBL	15
SLC27A5	45
SLC27A3	30
SLC27A2	45
KIF2C	41
SPINK5	2
LILRB4	26
CCDC85B	25
IL24	0
CHAD	28
GLIPR1	28
TLK2	10
KLK11	2
TMSB15A	4
KDELR2	6
KDELR3	8
ATF7	20
SNRNP27	46
TMED1	19
LIAS	3
RCBTB2	4
IFT27	4
RAB35	27
TDRKH	34
LILRA1	42
LILRB3	26
LILRA3	42
LILRA2	1
CHAT	20
RBPMS	8
RAB31	4
ADAP1	30
DSTN	47
STON1	30
RCC1	19
PIM2	24
B4GAT1	45
MID2	30
TENT4A	30
UPK1A	30
SLC35D2	2
ADRM1	18
CHD1	23
NUDT21	3
CPSF6	17
OGFR	0
ZPBP	33
DDX52	1
ABHD2	19
WWP1	16
CHD2	20
WWP2	15
CNMD	0
DUS4L	8
SOX30	7
CNTRL	16
UBE2C	44
SNRNP35	2
DEPP1	31
CYB561D2	15
RAPGEF4	30
CHD3	47
TMEM115	2
DUSP14	39
TOPBP1	8
TRIM31	4
STMN2	3
TPPP	0
HSF2BP	28
TRIOBP	2
RER1	49
CHD4	1
DNAJB4	31
KERA	34
ESM1	7
DIDO1	31
ADAM30	33
ADAM29	20
AKR1C4	7
SPACA9	22
ADAMTS13	12
CACFD1	48
ADAMTS8	38
ADAMTS5	31
NUPL2	18
PRSS23	15
PTPN21	7
HNRNPUL1	41
RPP14	11
KRR1	41
KATNA1	11
PRDM5	34
PRDM4	10
CHEK1	40
CIT	8
FGFR1OP	9
EMILIN1	26
BTN3A2	45
BTN3A1	47
FOXN3	46
BTN2A1	18
PTPRT	30
RCAN3	42
FAF1	8
CD160	7
KIF3A	16
CLASRP	1
CHGA	30
ZWINT	40
CAPN11	33
CAPN10	4
KPTN	28
CDC42EP1	27
SLC7A9	7
PWP1	6
TBC1D8	2
CHGB	32
CDC37	4
IL1RAPL1	24
PKIG	29
KAT7	35
DMC1	34
PLAAT3	25
GLMN	16
HHLA3	4
HHLA2	7
CORO1A	26
WDR45	46
FICD	4
AP4S1	38
LDB3	46
PTP4A3	46
LSM6	6
CHI3L1	31
ERLIN2	47
ERG28	45
NUDT6	16
NUDT4	2
NUDT3	3
SOX21	20
FSTL1	29
PSIP1	40
WDHD1	8
CHI3L2	43
FAM107A	31
STRAP	25
INSL6	7
ADAMTS7	12
ADAMTS6	20
BAZ2A	24
BAZ1A	35
LZTS1	42
ZNF277	16
CHIT1	28
WDR6	41
TREH	20
SLC2A6	15
MAP4K5	2
MAP4K1	26
RASSF1	25
PKP3	9
NISCH	47
CELF3	0
CHKA	43
CEP250	2
PTENP1	27
WBP4	18
ABCB8	38
SEC23IP	41
WIF1	48
SUPT16H	17
ANXA10	16
ADCY6	38
CHKB	48
CHEK2	6
POLI	27
KLK8	16
CHM	37
FZD10	27
PLPBP	3
IRAK3	30
AKAP13	18
AKAP11	43
AKAP10	35
TREX2	7
CHML	16
DUSP10	5
MRPL3	6
RPL35	14
GALNT6	24
RASSF8	36
CHN1	3
PRAF2	47
SEC63	8
POLG2	23
HPS5	43
PDCD10	11
RNF139	10
RNF24	16
CA5B	20
EGLN2	41
EGLN3	4
CHN2	5
PADI2	27
PMF1	13
GPR176	34
CAVIN3	2
NXPH4	12
ERI2	2
NXPH3	12
GPR45	33
PTGDR2	30
PACSIN2	2
MAN1B1	32
SLC6A14	11
HRH3	20
TP53TG1	48
DCTN3	14
FILIP1L	4
XPOT	6
CHP1	3
RWDD2A	46
SP140	5
PXMP4	37
DUSP12	23
SNF8	19
PRR4	11
ATXN2L	42
USP18	46
KLHL2	24
SYNRG	11
KLF12	16
KLF8	34
SCN11A	42
POU6F2	20
MGAT4B	32
PNKP	19
B4GALT7	32
SGF29	16
CHRM2	20
MED8	11
ADCY7	9
LYST	28
SLCO2B1	9
CHRM3	28
VPS45	28
LYPLA2	28
CD300A	4
AHNAK2	25
PARK7	32
COPE	19
RBPJL	12
IZUMO4	48
SCAMP4	31
GPR182	12
ECD	41
CHRM4	20
MGAT4A	16
GPN1	40
TMC6	32
DDX42	35
LARP4	23
VSIG4	3
FKBP9	3
STK38	31
CHRM5	20
CTRC	30
PHB2	25
ACOT7	15
PDAP1	3
TUSC2	27
CBX3	13
EXOC3	15
U2AF2	19
OIP5	40
CHRNA1	27
EXOSC8	13
SCRG1	1
TEX261	45
RNF13	1
MGLL	2
TWF2	19
GABARAPL2	32
TUBA3D	1
SYNPO	48
CHRNA2	20
CHRNA3	48
CYP2U1	20
CHRNA4	20
PIK3IP1	0
CHRNA5	1
ZNF257	34
DTX2	27
ADCY8	36
CHRNB1	28
TOE1	10
MCM3AP-AS1	8
BUD23	45
TRIM9	1
CHRNB2	37
TXNRD3	16
CHRNB3	34
CHRNB4	20
EFHC1	28
CHRND	20
CHRNE	7
NLRP3	7
CHRNG	12
ERMAP	30
CHUK	43
TUBGCP5	1
KLHL29	36
CROCCP3	20
OSBPL1A	8
OSBPL7	37
OSBPL8	45
OSBPL9	45
OSBPL10	32
OSBPL11	5
C1QTNF1	32
C1QTNF3	26
CIDEA	37
TMEM123	8
MRFAP1L1	17
ADCY9	16
MARCH3	18
CKB	4
ATG4A	47
KCTD12	28
CIRBP	47
LRRC42	31
CISH	7
TBCB	45
KIR3DL3	12
ARHGAP33	12
TRMT61A	36
CKM	46
DHRS1	32
TSR3	3
ADCYAP1	20
CKMT2	7
OSR2	31
ERCC8	37
KLHDC3	7
ACSM1	42
CKS1B	40
LYPD1	27
CKS2	23
FAM129A	1
RPL39L	1
ARAP2	5
ARAP1	4
AGAP2	0
AGAP1	16
ADCYAP1R1	20
MIA2	34
SSX2IP	1
FTSJ3	46
SLC16A10	3
AP2M1	19
AP1S1	3
AP2S1	3
AP3S1	3
CLC	7
CLCA1	0
ADD1	45
CLCN1	48
CLCN2	12
CLCN3	9
CLCN4	27
CLCN5	1
RPL23AP7	28
CFAP70	48
CLCN6	16
CLCN7	28
CLCNKB	38
PDZD8	13
ADD2	38
CLU	28
CLIC1	29
CLIC2	7
CLK2	5
CLK3	18
SERPINA3	9
ADD3	3
TPP1	47
CLN3	31
CYP2R1	16
CLN5	9
DNAJC24	9
CLNS1A	45
CLPS	30
CLPTM1	2
FAM186A	34
CLTA	41
