Unnamed: 0	Cluster
NAT2	32
ADA	23
CDH2	44
AKT3	19
MED6	29
NAALAD2	96
NAALADL1	51
ACOT8	90
ABI1	42
GNPDA1	69
ZBTB33	87
GS1-600G8.3	34
CDH3	55
TANK	46
EGOT	41
ACVR2B-AS1	36
SMIM27	75
C1orf68	39
DPY19L1P1	0
ZNF37BP	12
HDAC6	66
LOC100130331	34
SYCE1L	87
ARMCX4	65
CADM3-AS1	65
CLUHP3	11
NBPF10	9
KRTAP4-7	87
FAM66D	39
NDUFB2-AS1	36
JMJD7	18
HDAC5	67
PDCD6IP	27
PDCD6	89
BCL2L10	39
BCL2L11	0
SH2B3	71
CDH4	12
GNE	93
HCN4	34
INSL5	2
FRAT1	33
TROAP	99
MED16	16
PIGK	98
LINC00894	65
TIMM23	95
ERVMER34-1	8
ZNF783	23
CDH5	53
CHAF1A	99
PARP2	77
PARP3	51
CDH6	85
TOM1L1	84
HMGXB4	83
TOM1	47
SH2D3C	63
SH2D3A	4
MAMLD1	11
CST8	39
RANBP9	7
DNAJB6	53
THAP9-AS1	91
CDH7	56
SLC17A4	65
TMEM147-AS1	96
LOC100507424	96
MICA	55
SMC4	92
GJC1	19
AP1M2	4
UBA2	44
SAE1	44
ABCC5	75
ABCB6	48
DNM1L	27
CDH8	2
ABCC9	0
ABCF2	84
NR1H3	66
COX17	49
SCAMP2	23
SCAMP3	59
IL18BP	65
RWDD2B	89
CDH9	87
DPP3	15
SNUPN	62
HUWE1	94
PTPRU	41
TSPAN32	96
TSSC4	64
ATP9A	42
CDH10	11
USH1C	33
PQBP1	17
EDIL3	51
HHLA1	65
COL4A3BP	53
KCNK7	0
CDH11	32
UST	53
ARPC5	10
ARPC4	82
ARPC3	10
ARPC1B	84
ACTR3	61
ACTR2	66
TSPAN5	12
TSPAN3	49
ADAM8	20
CDH12	41
TSPAN2	87
NUBP2	89
TSFM	28
TSPAN1	55
PPIF	38
CTDSP2	91
TRIM10	65
ARPC2	49
SGK2	57
RAD50	94
KIF20A	92
PREB	47
HIPK3	22
FEM1B	38
CDH13	2
ACTR1B	98
ACTR1A	82
ARL4C	14
ARL4A	95
RASGRP1	53
DNAL4	67
ZNF263	97
LRPPRC	17
FRY	36
CDH15	24
PDIA6	66
TRAP1	94
OPTN	4
BCAP31	90
NAMPT	1
CELA3A	11
YAF2	31
ARFRP1	12
CDH16	11
TOB1	38
LINC01587	34
AKAP9	73
FAM13A	53
G3BP1	40
SUGP2	78
EBI3	20
ADGRG2	3
CDH17	43
MBNL2	93
HNRNPA3P1	87
ABI2	8
CEBPZ	6
PLXNC1	9
TRIM28	1
RASA4	46
AASS	74
PDZK1IP1	16
ATP6AP2	49
CDH18	56
FARP1	53
LPAR6	53
LPCAT3	50
WASF2	17
CHST4	34
SLC25A13	44
SLC25A15	44
ZNF197	18
SERF2	84
CDK2	74
DHRS9	68
RCL1	64
SORBS3	84
CNIH1	60
TENM1	96
RBM7	6
CDK3	65
RBM6	15
RBM5	3
LHFPL2	25
LHFPL6	74
TNK2	8
CDK4	76
TXNDC9	17
RNF41	7
ALG3	44
PRMT3	91
PSME3	29
MPHOSPH9	81
MPHOSPH10	6
ADAM10	60
CDK5	90
MPHOSPH6	89
NME6	12
DHRS2	96
CALCRL	36
NUTF2	44
MPZL2	4
TRIM13	19
PATJ	19
USPL1	83
EIF1	95
CDK6	91
TOPORS	7
FLOT1	53
DDX39A	62
PSMD14	44
SSX3	57
OLIG2	19
PRG4	56
CTDSPL	94
ANGPTL7	84
KLRG1	11
CDK7	54
GDF11	86
TRIB1	64
GPA33	63
ZNF443	6
CD96	51
PLIN3	82
MFSD10	49
STX6	9
COQ7	46
NBR2	63
RCAN2	86
MSLN	85
LRRC23	86
LRRC17	32
RASGRP2	36
HNRNPR	27
SLC35B1	44
DCAF7	47
AP3S2	11
CDK8	7
MRPS31	93
CALCOCO2	60
KCNMB2	65
GPHN	91
RABEPK	94
TIMM17B	69
SLC17A2	32
RIDA	53
POP7	6
GLYAT	32
CDK9	20
SRRM1	93
SPRY1	53
SPRY2	93
STAM2	33
HCG9	65
CNKSR1	50
ABCC4	94
CDKN1A	45
DENND4A	0
IGSF6	2
SF3B4	88
CDK2AP2	89
IRX5	91
RAMP2	65
RAMP1	43
RAMP3	28
ZMPSTE24	82
CDKN1B	97
AKAP8	3
FSTL3	79
STUB1	27
STAG1	91
NET1	54
UBE4B	15
EFS	67
PRSS16	65
CDKN1C	20
SIGMAR1	44
DSCR4	34
BET1	80
SAP18	23
SMNDC1	83
BCAS2	64
RGS19	4
LILRB2	39
EIF1B	95
CDKN2A	86
SPEG	50
SF3A1	29
TRAIP	56
DNAJA2	64
BCKDK	68
MAEA	31
APC2	51
PAK4	1
MARCH6	9
ADAR	29
CDKN2B	90
KATNB1	18
DLEU1	91
SNAPC5	78
APBB3	50
ZNF267	38
CCNO	12
CDKN2C	74
VPS26C	53
TCIRG1	41
RTN3	69
LANCL1	27
NMUR1	39
B3GALT5	34
TNIP1	79
LAMC3	51
CDKN2D	47
IKZF1	51
CRISP3	56
SMYD5	70
KLHL41	35
RRAGB	65
SIRPB1	63
AKR1A1	84
EMC8	95
RXYLT1	89
CDKN3	52
CNPY2	10
B3GNT3	72
CLEC4M	39
TLR6	0
PCGF3	9
TFG	29
PKDREJ	2
TRDN	36
TRIM22	43
ABCA7	90
ABCA8	80
WARS2	94
CDO1	0
NPM3	44
HMG20B	69
HMG20A	31
KLF2	93
MICU1	98
CACNG3	34
CACNG2	65
CITED2	25
SEMA3A	41
TUBA1B	82
IRF9	21
CDR1	63
BPNT1	34
TUBB3	93
TUBB4A	12
TUBB4B	93
BTN3A3	86
BTN2A2	67
SYCP2	80
SCML2	28
CDR2	6
CEPT1	28
CORO2B	56
MYL12B	84
NOD1	12
ANAPC10	1
PRG3	34
DLC1	42
ATP8A1	60
NDRG1	33
MYL9	14
RACK1	59
ADARB1	4
CDS1	28
PEMT	89
PIAS3	60
ST3GAL6	91
NDC80	52
CPQ	67
WFDC2	66
SPAG11B	2
MYCNOS	39
BASP1	38
CDSN	73
IFITM3	66
RAPGEF3	72
NSA2	17
YAP1	16
SPON2	19
SPON1	86
PRMT5	27
TESK2	96
CD2BP2	68
UBAC1	94
CDIPT	49
PGRMC2	25
ARIH2	81
TUBGCP3	1
SEC24B	97
CFDP1	89
CD52	72
TMEM147	10
RBM14	62
LYPLA1	76
CDC42EP2	68
IFI30	66
C1D	44
OLFM1	46
CDX1	36
TIMM17A	93
N4BP2L2	1
ZER1	72
MCRS1	17
LRRN2	65
FAM3C	98
ACAA2	74
CDX2	21
PPIE	89
VAV3	85
TOMM40	20
TAB1	11
ECI2	44
HAX1	69
GPNMB	32
BAIAP2	68
CDX4	39
TACC3	52
MERTK	9
CLEC10A	65
SLC30A9	10
PIBF1	56
PPIH	44
COG5	61
ZNHIT1	66
FST	67
TIMM44	74
CLGN	8
PFDN6	94
ZBTB18	47
HMGN4	94
TADA3	89
TRIM38	3
ATP5PD	69
UBE2E3	84
SLC25A17	96
SLC9A6	9
CEACAM5	42
EIF3M	42
HOXB13	8
NXF1	37
SEC23B	78
SEC23A	5
C1orf61	63
CAP2	86
CAP1	82
CREB3	8
LRRC41	58
VTI1B	94
CRTAP	61
SYNCRIP	27
VAT1	69
STK25	75
ENOX2	22
UNC13B	15
CARM1	1
NCOA2	64
ADARB2	63
